Osteostraci,437.4,411
Galeaspida,440,409
Acanthodes,298.9,293.5
Homalacanthus,382.7,379.2
Cheiracanthus,393.3,382.7
Mesacanthus,419.2,410.8
Promesacanthus,419.2,410.8
Cassidiceps,419.2,410.8
Akmonistion,330.9,323.2
Cobelodus,333,318.1
Cladoselache,363.3,358.9
Chondrenchelys,339,337.5
Debeerius,323.1,318.1
Helodus,315.2,307
Hamiltonichthys,303.7,298.9
Onychoselache,339,333
Tristychius,336.2,328.3
Cladodoides,375.7,372.2
Orthacanthus,299,280
Tamiobatis,372.2,358.9
Doliodus,407.6,391.4
Pucapampella,393.3,382.7
Lupopsyrus,419.2,410.8
Obtusacanthus,419.2,410.8
Gyracanthides,359.3,353
Kathemacanthus,419.2,410.8
Brochoadmones,419.2,410.8
Vernicomacanthus,419.2,410.8
Ptomacanthus,419.2,410.8
Brachyacanthus,419.2,410.8
Parexus,419.2,410.8
Climatius,419.2,410.8
Euthacanthus,419.2,410.8
Latviacanthus,410.8,407.6
Ischnacanthus,419.2,410.8
Poracanthodes,419.2,416.4
Tetanopsyrus,419.2,410.8
Culmacanthus,387.7,382.7
Diplacanthus,394.5,392.1
Gladiobranchus,419.2,410.8
Rhadinacanthus,386.9,382
Ramirosuarezia,392,387
Janusiscus,415,410
Achoania,413.6,410.8
Psarolepis,419.2,410.8
Guiyu,427.4,423
Diabolepis,413.6,410.8
Youngolepis,413.6,410.8
Powichthys,413.6,409.7
Styloichthys,413.6,410.8
Eusthenopteron,382.7,379.2
Gogonasus,382.7,379.2
Osteolepis,389.6,387.7
Kenichthys,398.1,393.3
Glyptolepis,389.6,386
Porolepis,410.8,409.7
Miguashaia,382.7,379.2
Onychodus,382.7,379.2
Ligulalepis,407.6,393.3
Cheirolepis,389.6,379.2
Howqualepis,387.7,382.7
Kentuckia,347.1,346.3
Mimipiscis,382.7,379.2
Moythomasia,382.7,379.2
Osorioichthys,367,361
Meemannia,413.6,410.8
Dialipina,407.6,393.3
Lophosteus,416,411
Entelognathus,427.4,423
Gemuendina,408.7,402.8
Jagorina,375.7,372.2
Sigaspis,410.8,409.7
Buchanosteus,409.7,407.6
Parabuchanosteus,407.6,393.3
Coccosteus,394.5,392.1
Compagopiscis,382.7,379.2
Eastmanosteus,382.7,379.2
Incisoscutum,382.7,379.2
Holonema,382.7,379.2
Groenlandaspis,387.7,382.7
Dicksonosteus,410.8,409.7
Kujdanowiaspis,413.6,409.7
Cowralepis,384.4,379.2
Gavinaspis,412,408
Wuttagoonaspis,393,388
Austroptyctodus,382.7,379.2
Rhamphodopsis,394.5,392.1
Campbellodus,382.7,379.2
Materpiscis,382.7,379.2
Eurycaraspis,387.7,382.7
Lunaspis,408.7,402.8
Macropetalichthys,393.3,387.7
Quasipetalichthys,387.7,382.7
Diandongpetalichthys,419.2,410.8
Romundina,419.2,410.8
Brindabellaspis,407.6,393.3
Bothriolepis,410.2,374.3
Microbrachius,387.7,384.4
Remigolepis,372.2,358.9
Sinolepis,358.5,353
Pterichthyodes,389.6,387.7
Parayunnanolepis,413.6,410.8
Yunnanolepis,419.2,410.8
