Hemicyclaspis murchisoni,421,417
Zenaspis salweyi,412,410
Cephalaspis lyelli,412,408
Benneviaspis holtedahli,413,411
Boreaspis macrorhynchus,411,407
Norselaspis glacialis,411,406
Nectaspis areolate,411,408
Procephalaspis oeselensis,427,422
Tremataspis mammillata,427,422
Waengsjoeaspis excellens,416,411
Escuminaspis laticeps,380,375
Eugaleaspis changi,412,408
Hanyangaspis guodingshanensis,436,431
Polybranchiaspis liaojiaoshanensis,415,410
Bannhuanaspis vukhuci,411,407
Wenshanaspis zhichangensis,409,404
Shuyu zhejiangensis,433,430
Polybranchiaspid sp histological samples,415,410
Yunnanolepis sp,413.6,410.8
Parayunnanolepis xitunensis,413.6,410.8
Microbrachius dicki,387.7,384.4
Bothriolepis sp Gogo,383,380
Bothriolepis canadensis,380,377
Pterichthyodes milleri,389.6,387.7
Remigolepis walkeri,372.2,358.9
Diandongpetalichthys liaojiaoshanensis,419.2,410.8
Quasipetalichthys haikouensis,387.7,382.7
Eurycaraspis incilis,387.7,382.7
Lunaspis broili,408.7,402.8
Macropetalichthys rapheidolabis,393.3,387.7
Wuttagoonaspis fletcheri,393,388
Groenlandaspis sp Mt Howitt,387.7,382.7
Cowralepis mclachlani,384.4,379.2
Gavinaspis convergens,412,408
Sigaspis lepidophora,410.8,409.7
Kujdanowiaspis podolica,413.6,409.7
Dicksonosteus arcticus,410.8,409.7
Buchanosteus confertituberculatus,409.7,407.6
Parabuchanosteus murrumbidgeensis,407.6,393.3
Holonema westolli,382.7,379.2
Coccosteus cuspidatus,394.5,392.1
Incisoscutum ritchiei,382.7,379.2
Eastmanosteus calliaspis,382.7,379.2
Compagopiscis croucheri,382.7,379.2
Materpiscis attenboroughi,382.7,379.2
Austroptyctodus gardineri,382.7,379.2
Campbellodus decipiens,382.7,379.2
Rhamphodopsis threiplandi,394.5,392.1
Brindabellaspis stensioi,407.6,393.3
Romundina stellina,419.2,410.8
Jagorina pandora,375.7,372.2
Gemuendina stuertzi,408.7,402.8
Entelognathus primordialis,427.4,423
Janusiscus schultzei,415,410
Ramirosuarezia boliviana,392,387
Acanthodes bronni,298.9,293.5
Brachyacanthus scutiger,419.2,410.8
Brochoadmones milesi,419.2,410.8
Cassidiceps vermiculatus,419.2,410.8
Cheiracanthus sp,393.3,382.7
Climatius reticulatus,419.2,410.8
Culmacanthus stewarti,387.7,382.7
Euthacanthus macnicoli,419.2,410.8
Gladiobranchus probaton,419.2,410.8
Homalacanthus concinnus,382.7,379.2
Ischnacanthus gracilis,419.2,410.8
Kathemacanthus rosulentus,419.2,410.8
Latviacanthus ventspilsensis,410.8,407.6
Lupopsyrus pygmaeus,419.2,410.8
Mesacanthus mitchelli,419.2,410.8
Obtusacanthus corroconis,419.2,410.8
Parexus recurvus,419.2,410.8
Poracanthodes menneri,419.2,416.4
Promesacanthus eppleri,419.2,410.8
Ptomacanthus anglicus,419.2,410.8
Diplacanthus striatus,394.5,392.1
Tetanopsyrus lindoei breviacanthias,419.2,410.8
Vernicomacanthus waynensis,419.2,410.8
Cladodoides wildungensis,375.7,372.2
Akmonistion zangerli,330.9,323.2
Cobelodus braincase,333,318.1
Cladoselache kepleri fyleri,363.3,358.9
Chondrenchelys problematica,339,337.5
Helodus simplex,315.2,307
Debeerius ellefseni,323.1,318.1
Doliodus problematicus,407.6,391.4
Hamiltonichthys mapesi,303.7,298.9
Onychoselache traquari,339,333
Orthacanthus sp,299,280
Pucapampella rodrigae,393.3,382.7
Tamiobatis vetustus,372.2,358.9
Tristychius arcuatus,336.2,328.3
Dialipina salgueiroensis,407.6,393.3
Ligulalepis toombsi,407.6,393.3
Cheirolepis canadensis,389.6,379.2
Cheirolepis trailli,389.6,379.2
Howqualepis rostridens,387.7,382.7
Mimipiscis toombsi,382.7,279.2
Moythomasia durgaringa,382.7,279.2
Kentuckia deani,347.1,346.3
Osorioichthys marginis,367,361
Meemannia eos,413.6,410.8
Guiyu oneiros,427.4,423
Psarolepis romeri,419.2,410.8
Achoania jarvikii,413.6,410.8
Onychodus jandemarrai,382.7,379.2
Miguashaia bureaui,382.7,379.2
Styloichthys changae,413.6,410.8
Diabolepis speratus,413.6,410.8
Youngolepis praecursor,413.6,410.8
Powichthys thorsteinssoni,413.6,409.7
Porolepis sp,410.8,409.7
Glyptolepis groenlandica,389.6,386
Kenichthys campbelli,398.1,393.3
Osteolepis macrolepidotus,389.6,387.7
Gogonasus andrewsae,382.7,379.2
Eusthenopteron foordi,382.7,379.2
